Competition.assay,Evolution.environment,Population.size,Evolved.strain.ID,Evolved.strain.mating.type,Evolved.strain.ade6.marker,Evolved.strain.genotype,Ancestor.genotype,Ancestor.mating.type,Ancestor.ade6.marker,Competition.replicate,Round,Picture.ID.initial,Evolved.strain.initial.CFU,Ancestor.initial.CFU,Competition.environment,Picture.ID.final,Evolved.strain.final.CFU,Ancestor.final.CFU
134,Extreme,24,6C,h-,M210,h-/M210,h-/M216,h-,M216,2,5.2,3456,92,79,Mean,3467,65,251
135,Extreme,24,6C,h-,M210,h-/M210,h-/M216,h-,M216,3,5.2,3456,92,79,Mean,3486,9,91
136,Extreme,96,3B,h-,M216,h-/M216,h-/M210,h-,M210,1,5.1,3336,279,192,Mean,3390,254,181
137,Extreme,96,3B,h-,M216,h-/M216,h-/M210,h-,M210,2,5.1,3336,279,192,Mean,3377,341,242
138,Extreme,96,3B,h-,M216,h-/M216,h-/M210,h-,M210,3,5.1,3336,279,192,Mean,3400,437,214
139,Extreme,96,3C,h-,M216,h-/M216,h-/M210,h-,M210,1,5.1,3337,288,246,Mean,3398,357,253
140,Extreme,96,3C,h-,M216,h-/M216,h-/M210,h-,M210,2,5.1,3337,288,246,Mean,3399,444,334
141,Extreme,96,3C,h-,M216,h-/M216,h-/M210,h-,M210,3,5.1,3337,288,246,Mean,3368,414,332
142,Extreme,96,3D,h+,M210,h+/M210,h+/M216,h+,M216,1,5.1,3338,323,330,Mean,3364,517,380
143,Extreme,96,3D,h+,M210,h+/M210,h+/M216,h+,M216,2,5.1,3338,323,330,Mean,3371,530,570
144,Extreme,96,3D,h+,M210,h+/M210,h+/M216,h+,M216,3,5.1,3338,323,330,Mean,3378,520,381
145,Extreme,96,3F,h+,M216,h+/M216,h+/M210,h+,M210,1,5.1,3339,360,11,Mean,3392,353,8
146,Extreme,96,3F,h+,M216,h+/M216,h+/M210,h+,M210,2,5.1,3339,360,11,Mean,3379,315,7
147,Extreme,96,3F,h+,M216,h+/M216,h+/M210,h+,M210,3,5.1,3339,360,11,Mean,3376,461,7
148,Extreme,96,3G,h+,M216,h+/M216,h+/M210,h+,M210,1,6.4,4131,15,187,Mean,4164,42,360
149,Extreme,96,3G,h+,M216,h+/M216,h+/M210,h+,M210,2,6.4,4131,15,187,Mean,4171,39,248
150,Extreme,96,3G,h+,M216,h+/M216,h+/M210,h+,M210,3,6.4,4131,15,187,Mean,4203,111,492
151,Extreme,96,4D,h-,M210,h-/M210,h-/M216,h-,M216,1,5.1,3341,179,281,Mean,3366,256,334
152,Extreme,96,4D,h-,M210,h-/M210,h-/M216,h-,M216,2,5.1,3341,179,281,Mean,3375,225,211
153,Extreme,96,4D,h-,M210,h-/M210,h-/M216,h-,M216,3,5.1,3341,179,281,Mean,3401,464,603
154,Extreme,96,4E,h-,M210,h-/M210,h-/M216,h-,M216,1,5.1,3342,212,274,Mean,3382,295,272
155,Extreme,96,4E,h-,M210,h-/M210,h-/M216,h-,M216,2,5.1,3342,212,274,Mean,3372,597,565
156,Extreme,96,4E,h-,M210,h-/M210,h-/M216,h-,M216,3,5.1,3342,212,274,Mean,3373,383,428
157,Extreme,96,4G,h+,M210,h+/M210,h+/M216,h+,M216,1,5.1,3343,321,364,Mean,3369,185,71
158,Extreme,96,4G,h+,M210,h+/M210,h+/M216,h+,M216,2,5.1,3343,321,364,Mean,3384,148,72
159,Extreme,96,4G,h+,M210,h+/M210,h+/M216,h+,M216,3,5.1,3343,321,364,Mean,3394,67,112
160,Extreme,96,5C,h+,M210,h+/M210,h+/M216,h+,M216,1,5.1,3344,254,296,Mean,3362,403,306
161,Extreme,96,5C,h+,M210,h+/M210,h+/M216,h+,M216,2,5.1,3344,254,296,Mean,3388,286,191
162,Extreme,96,5C,h+,M210,h+/M210,h+/M216,h+,M216,3,5.1,3344,254,296,Mean,3396,297,273
163,Extreme,96,5D,h+,M216,h+/M216,h+/M210,h+,M210,1,5.1,3345,262,19,Mean,3386,284,8
164,Extreme,96,5D,h+,M216,h+/M216,h+/M210,h+,M210,2,5.1,3345,262,19,Mean,3387,323,27
165,Extreme,96,5D,h+,M216,h+/M216,h+/M210,h+,M210,3,5.1,3345,262,19,Mean,3391,258,11
166,Extreme,96,5E,h-,M216,h-/M216,h-/M210,h-,M210,1,5.1,3346,277,240,Mean,3370,441,96
167,Extreme,96,5E,h-,M216,h-/M216,h-/M210,h-,M210,2,5.1,3346,277,240,Mean,3383,272,181
168,Extreme,96,5E,h-,M216,h-/M216,h-/M210,h-,M210,3,5.1,3346,277,240,Mean,3393,246,74
169,Extreme,96,5F,h+,M210,h+/M210,h+/M216,h+,M216,1,5.1,3347,243,286,Mean,3367,284,221
170,Extreme,96,5F,h+,M210,h+/M210,h+/M216,h+,M216,2,5.1,3347,243,286,Mean,3374,277,331
171,Extreme,96,5F,h+,M210,h+/M210,h+/M216,h+,M216,3,5.1,3347,243,286,Mean,3389,500,347
172,Extreme,96,5G,h-,M210,h-/M210,h-/M216,h-,M216,1,5.1,3348,139,290,Mean,3381,268,468
173,Extreme,96,5G,h-,M210,h-/M210,h-/M216,h-,M216,2,5.1,3348,139,290,Mean,3385,143,393
174,Extreme,96,5G,h-,M210,h-/M210,h-/M216,h-,M216,3,5.1,3348,139,290,Mean,3395,101,237
175,Fast,24,2B,h-,M216,h-/M216,h-/M210,h-,M210,1,6.3,4008,5,50,Fast,4035,0,1
176,Fast,24,2B,h-,M216,h-/M216,h-/M210,h-,M210,2,6.3,4008,5,50,Fast,4042,146,172
177,Fast,24,2B,h-,M216,h-/M216,h-/M210,h-,M210,3,6.3,4008,5,50,Fast,4060,1,346
178,Fast,24,2C,h-,M216,h-/M216,h-/M210,h-,M210,1,6.3,4009,70,56,Fast,4028,0,59
179,Fast,24,2C,h-,M216,h-/M216,h-/M210,h-,M210,2,6.3,4009,70,56,Fast,4038,74,313
180,Fast,24,2C,h-,M216,h-/M216,h-/M210,h-,M210,3,6.3,4009,70,56,Fast,4053,65,252
181,Fast,24,2D,h-,M210,h-/M210,h-/M216,h-,M216,1,6.3,4010,18,62,Fast,4029,0,154
182,Fast,24,2D,h-,M210,h-/M210,h-/M216,h-,M216,2,6.3,4010,18,62,Fast,4040,48,456
183,Fast,24,2D,h-,M210,h-/M210,h-/M216,h-,M216,3,6.3,4010,18,62,Fast,4064,73,303
184,Fast,24,3A,h-,M216,h-/M216,h-/M210,h-,M210,1,2.1,784,12,65,Fast,2076,6,337
185,Fast,24,3A,h-,M216,h-/M216,h-/M210,h-,M210,2,2.1,784,12,65,Fast,2078,17,534
186,Fast,24,3A,h-,M216,h-/M216,h-/M210,h-,M210,3,2.1,784,12,65,Fast,2079,42,730
187,Fast,24,3B,h+,M210,h+/M210,h+/M216,h+,M216,1,2.1,775,55,54,Fast,2021,10,332
188,Fast,24,3B,h+,M210,h+/M210,h+/M216,h+,M216,2,2.1,775,55,54,Fast,2027,17,272
189,Fast,24,3B,h+,M210,h+/M210,h+/M216,h+,M216,3,2.1,775,55,54,Fast,2037,18,380
190,Fast,24,4A,h+,M216,h+/M216,h+/M210,h+,M210,1,6.3,4011,3,136,Fast,4021,28,282
